Document ID,Terms
11,"['one', 'way', 'get', 'let', 'everybody', 'look', 'make', 'help', 'walking', 'street', 'whoa', 'see', 'came', 'brand', 'cover', 'morning', 'feel', 'move', 'worldwide', 'na', 'girl', 'gone', 'need', 'open', 'new', 'thats', 'find', 'close', 'come', 'im', 'freedom', 'hand', 'heart', 'liaf', 'breathe', 'take', 'thought', 'wan', 'scream', 'singing', 'without', 'closeness', 'affection', 'left', 'aiai', 'song', 'cipe', 'enough', 'many', 'youll', 'love', 'hopefully', 'screen']"
12,"['mind', 'cutting', 'imagine', 'table', 'fvck', 'longer', 'world', 'extreme', 'food', 'strength', 'able', 'nigga', 'put', 'stable', 'cable', 'till', 'express', 'breadwinner', 'pulled', 'challenge', 'fvcked', 'burner']"
13,"['più', 'sempre', 'qui', 'vero', 'ti', 'vorrà', 'lascia', 'quei', 'addio', 'la', 'sarem', 'sorprenda', 'digitally', 'alfredo', 'lagrime', 'felici', 'divisi', 'oh', 'piangi', 'ei', 'mami', 'maria', 'tamo', 'traviata', 'act', 'avea', 'piedi', 'non', 'amami', 'calla', 'ne', 'presso', 'calma', 'vedi', 'è', 'getterò', 'tra', 'mi', 'te', 'ai', 'suoi', 'tu', 'chei', 'perché', 'sarò', 'fior', 'son', 'sorrido', 'là', 'che', 'duopo', 'ii', 'di', 'tranquilla', 'quantio', 'quanto', 'mallontani', 'remastered', 'lo']"
14,"['like', 'mind', 'eternal', 'journey', 'sensing', 'whisper', 'loose', 'free', 'friend', 'im', 'set', 'blurry', 'left', 'falling', 'theur', 'shes', 'really', 'peace', 'cry', 'much', 'vein', 'love', 'poison', 'make', 'confuses', 'moved', 'want', 'good', 'eye', 'veil', 'final', 'maybe', 'abyss', 'tell', 'run', 'someone', 'ramzet', 'listen', 'talk', 'dead', 'story', 'wall', 'cant', 'around', 'mist', 'hellohello', 'damn', 'sinking', 'trapped', 'asleep', 'ill', 'rest', 'still', 'rip', 'take', 'dream', 'white', 'maze', 'thought', 'surrounding', 'seems', 'time', 'certain', 'voice', 'hasnt', 'night', 'deep', 'dont', 'fighting', 'mortal', 'try', 'soul', 'darkness', 'feel', 'longer', 'floating', 'need', 'kill', 'give', 'heart', 'probably', 'air', 'death', 'empathy', 'hear', 'shot']"
15,"['supposed', 'life', 'dont', 'seen', 'word', 'cripple', 'let', 'like', 'ashamed', 'believe', 'coast', 'thing', 'share', 'today', 'see', 'neck', 'sting', 'vain', 'alcohol', 'feel', 'tie', 'took', 'guardian', 'girl', 'found', 'kept', 'little', 'book', '13', 'history', 'stutter', 'boy', 'step', 'care', 'die', 'whisper', 'know', 'happened', 'rest', 'pain', 'hell', 'tear', 'erase', 'name', 'year', 'say', 'mean', 'medicine', 'take', 'dream', 'didnt', 'noose', 'skin', 'envy', 'seems', 'ache', 'nothing', 'saint', 'lucy', 'yet', 'gray', 'relative', 'youre', 'ive', 'ease', 'hanging', 'round', 'said', 'worth', 'hasnt', 'suffering', 'sweet', 'tenderness', 'cutlery', 'apart']"
16,"['foot', 'waited', 'made', 'clay', 'u2', 'firm', 'see', 'inclined', 'footstep', 'lord', 'patiently', 'heard', 'new', 'upon', 'brought', 'miry', 'set', 'pit', 'song', 'cry', 'long', 'hear', 'many', 'rock', 'sing', '40']"
17,"['foot', 'waited', 'made', 'clay', 'u2', 'firm', 'see', 'lot', 'inclined', 'footstep', 'must', 'lord', 'thanks', 'patiently', 'live', 'heard', 'new', 'upon', 'miry', 'set', 'lift', 'pit', 'song', 'cry', 'long', 'hear', 'many', 'rock', 'sing', '40']"
18,"['foot', 'mire', 'waited', 'made', 'clay', 'u2', 'firm', 'see', 'inclined', 'three', 'lord', 'footstep', 'patiently', 'heard', 'new', 'upon', 'two', 'brought', 'fear', '2008', 'set', 'four', 'pit', 'song', 'cry', 'long', 'many', 'rock', 'remastered', 'sing', '40']"
19,"['foot', 'mire', 'waited', 'made', 'clay', 'u2', 'firm', 'see', 'inclined', 'three', 'lord', 'footstep', 'patiently', 'heard', 'new', 'upon', 'two', 'brought', 'fear', '2008', 'set', 'four', 'pit', 'song', 'cry', 'long', 'many', 'rock', 'remastered', 'sing', '40']"
20,"['foot', 'waited', 'made', 'clay', 'u2', 'firm', 'see', 'inclined', 'footstep', 'lord', 'surrender', 'patiently', 'heard', 'new', 'upon', 'miry', 'set', 'lift', 'pit', 'song', 'cry', 'long', 'hear', 'many', 'rock', 'sing', '40']"
