Term,Document IDs
anthem,22
alarm,22
gaslight,22
lay,"22,32,37,57,68,69,95,243,277"
bleeds,22
turn,"22,40,41,42,44,58,74,106,113,143,200,219,220,230,245,251,252,253,294"
sens,"22,195"
tickticking,22
key,"22,122,124,165,236,237,238"
45,22
ah,"22,50,53,57,62,68,69,82,84,102,103,110,117,134,143,146,150,168,173,175,185,197,214,266,267,271,275,276,291"
1999,"23,68,69,252,258"
fill,"23,176,235,252,253"
ever,"23,25,39,40,66,85,86,87,88,106,109,146,148,160,166,178,179,216,222,223,230,237,238,247,254,256,257,258,259,260,261,272,277,282,291"
voodoo,23
dumb,"23,206"
segas,23
well,"23,24,32,35,53,54,61,68,69,86,93,95,96,116,121,125,140,146,162,169,171,173,178,179,182,199,208,210,211,217,221,229,232,235,245,247,252,253,254,258,259,260,261,262,271"
electronics,23
teeth,"23,196,237,238,241,269,278,288"
strong,"23,101,117,152,153,327"
wipe,23
fine,"23,82,95,104,109,112,182,210,211,218,228,234,239,247,327"
milky,23
card,"23,177,216,222"
nintendo,23
stardust,23
millionaire,"23,78"
body,"23,68,69,77,91,230,243,244,288,289"
barn,23
gold,"23,40,97,176,194,236"
kaleidoscope,23
1990,23
light,"23,28,29,30,37,39,41,59,65,66,74,95,106,124,160,180,187,195,200,219,220,228,237,238,244,245,251,252,253,275,276"
trading,23
chemical,"23,39"
swing,"23,68,69,237,238"
courtney,23
wed,"23,122"
whatever,"23,44,84,98,180,213,245"
atari,23
ferrari,23
behind,"23,91,146,190,191,192,210,211,228,326"
economics,23
99,23
sony,23
far,"24,59,101,122,140,158,175,244,250,256,257,258,259,260,261,294"
hard,"24,92,95,101,146,195,202,219,220,237,238,241,251,252,253,278,291"
pick,"24,68,69,93,213,222,241,251,278"
beth,"24,57,75,93,100,105,109,154,163,181,198"
sometimes,"24,50,92,146,163,164,165,182,204,208,217,223"
news,"24,171,202"
everyone,"24,195,246"
ended,24
wheres,"24,109,146"
tree,"24,43,58,59,106,176,181,223,244,264,266,267,269"
emily,"24,105,109,158,173"
broadway,"24,57,82,83,90,93,100,103,105,107,109,113,154,158,163,164,173,181,198"
liberal,24
flare,24
finally,"24,44,106,124,126,127,128,200"
musical,"24,57,93,100,105,109,154,158,163,173,181,198"
allison,"24,93,173"
dramatic,"24,235"
betty,24
pull,"24,38,124,186,289"
label,"24,219,220"
coffee,24
