Term,Document IDs
rainey,117
alabamy,117
prance,117
swell,117
jew,117
cabaret,117
latest,117
affair,"117,327"
neighborhood,"117,141,142,232"
grandpa,117
trance,117
sapete,118
già,"118,119,120"
leggete,118
contadine,118
novantuna,118
turchia,118
principesse,118
sia,118
cento,118
ricca,118
contesse,118
vhan,118
picca,118
dolcezza,118
porti,118
sua,"118,136,150,157,172,205,274"
gentilezza,118
seicento,118
amò,118
trentuna,118
delle,118
duecento,118
giovin,118
predominante,118
vezzosa,118
età,118
bianca,"118,119,120"
magrotta,118
bruna,118
cittadine,118
italia,118
queste,118
bionda,118
bella,"118,183,184,188,260"
ognor,"118,150"
cameriere,118
osservate,118
grassotta,118
costanza,"118,150"
madamina,118
donne,"118,175"
vecchie,118
tre,118
conquista,118
pel,118
lista,118
francia,118
maestosa,118
dogni,118
catalogo,118
porle,118
brutta,118
quel,"118,150,156"
vuol,"118,150"
lodar,118
ispagna,118
padron,118
principiante,118
fattiio,118
nella,"118,130,131,132"
marchesane,118
destate,118
gonnella,118
lamagna,118
dinverno,118
quaranta,118
forma,"118,136,156"
lusanza,118
piccina,118
purché,118
mille,118
grado,118
egli,118
baronesse,118
dita,"119,120"
sue,"119,120"
bianco,"119,120"
fiori,"119,120"
laurora,"119,120"
carezza,"119,120,183,184"
arcano,"119,120"
schiudi,"119,120"
desti,"119,120"
ove,"119,120,188"
veste,"119,120"
sol,"119,120,123,156,183,184,205,287"
luce,"119,120,130,131,132,156,189"
tuo,"119,120,150,156"
invano,"119,120,183,184"
leoncavallo,"119,120"
par,"119,120,203,270,293"
lamor,"119,120,183,184"
dischiude,"119,120"
metti,"119,120"
stuol,"119,120"
ruggero,"119,120"
fremito,"119,120"
vestita,"119,120"
anche,"119,120"
commosso,"119,120"
dolente,"119,120,150"
creato,"119,120"
mattinata,"119,120"
rosee,"119,120"
manca,"119,120,150"
intorno,"119,120"
cantor,"119,120"
recently,121
ploy,121
cheating,121
reason,"121,148,193,206"
repeat,"121,202,235"
westbrook,121
overjoyed,121
zachary,121
stuck,"121,202,235,278,291"
poet,"122,124"
selfreflection,122
fascinating,122
often,"122,186,204"
perfection,122
highness,122
rupert,122
lamb,"122,124"
ogre,122
perfect,"122,187,195,289"
use,"122,124,160,186,215"
destroyer,122
lion,122
needy,122
bell,"122,171"
fontana,"122,171"
pitiless,122
giant,"122,193"
complicated,122
jerk,"122,217,232"
christopher,122
dragon,"122,200,215"
church,122
slayer,122
gargoyle,122
sportsman,122
farfromperfect,122
splendido,123
divin,123
spettacolo,123
dallonde,123
premo,123
uscito,123
coro,123
posso,123
mappartieni,123
spettacol,123
fiorente,123
alla,"123,175,183,184"
tutta,"123,156"
arricchir,123
meyerbeer,123
rapito,"123,150"
offrir,123
fin,"123,270,287"
leuropa,123
patria,"123,183,184,188"
terreno,123
suol,"123,156"
giacomo,"123,131,137,138"
sognata,123
nostro,123
fecondo,123
batte,123
ecco,"123,183,184"
mic,"124,219,220"
tested,124
fichael,124
survival,124
daytoday,124
4,"124,165,208,255"
8,124
rebel,"124,262"
scour,124
rival,124
poetry,124
microphone,124
kine,124
rop,124
cuz,"124,291"
bo,124
speech,124
3,"124,200,232,250,327"
smart,124
6,124
x7,124
marquee,124
sharona,124
penalize,124
eatin,124
mantanka,124
coup,"124,270"
honor,124
itll,"124,127,128,262"
stifle,124
channel,"124,291"
ededdeddie,124
fan,"124,150,213,219,220,229,230,232,243"
armor,"124,177"
interest,124
smash,124
defensive,124
beyond,"124,152,153,180,277"
feeble,124
account,"124,230"
recite,124
anytime,124
fible,124
meteorite,124
seeing,"124,135,146,202,204"
treble,124
mmmmy,124
battling,"124,200"
wwwwatch,124
cheatin,124
mmmmike,124
lane,"124,213"
blasphemy,124
gim,"124,200,219,220"
jazz,124
horrible,124
mmmike,124
mastery,124
weak,"124,165"
realized,"124,177"
epiphany,124
manifest,"124,264"
rigorize,124
rude,"124,182"
kkkkeep,124
locked,"124,204"
ggirl,124
lovin,"124,216"
mash,"124,271"
bbbbologna,124
karma,"124,272"
mystery,"124,187"
hurrying,124
passing,124
pimp,"124,219,220,278"
rhyme,"124,143,232"
catastrophe,124
experience,"124,176"
hone,124
mmmichael,124
gggood,124
development,124
photofinish,124
pilot,124
reducing,124
1,"124,162,170,187,200,207,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,327"
california,124
destiny,"124,200,264"
dribble,124
aaron,124
razzmattazzledazzling,124
psycho,"124,151"
menace,124
interested,"124,222"
mikah,124
sparring,124
stststyle,124
9,"124,265,266,267"
detat,124
aceyalone,124
guidance,124
anyday,124
style,"124,143,178,179,210,211,219,220"
mc,"124,143,232"
audacity,124
rifle,124
takeover,124
sweaty,"124,143,210,211"
steady,"124,236"
lettin,124
honestly,124
ay,"124,284"
kibble,124
enemy,"124,197,206,327"
rockin,124
wrappin,124
victory,124
dealer,"124,327"
bologna,124
harrassing,124
codependents,124
arrested,124
trouble,"124,218,256,257,258,259,260,261"
ppparty,124
part,"124,194,195,200,225,226,227,235,247,270,273"
case,"124,289"
gathering,124
player,124
haiku,124
takin,"124,219,220,262"
hurdling,124
mmmy,124
grim,"124,201"
til,"124,219,220,237,238,275,276,327"
hayes,124
fffreddy,124
kkkkinda,124
enriches,124
mack,"124,237,238"
slip,"124,240"
hurling,124
eddie,124
ancestor,124
coward,124
file,"124,271"
winnelally,124
relief,"124,223"
instinct,"124,281"
mmmicrophona,124
ok,124
smitten,125
routine,125
master,125
entrancement,125
whose,125
spare,125
danced,"125,327"
concede,125
sought,125
replaced,125
note,"125,201,235,252,253"
dreaming,"125,268"
entranced,125
worried,"125,200"
fella,"126,127,128"
mona,126
cookin,"126,127,128"
hep,"126,127,128"
zink,126
wit,"126,127,128,165,217"
snoot,"126,127,128"
upper,"126,127,128,167"
helium,"126,127,128"
heck,"126,127,128"
character,126
amos,126
tsk,"126,127,128"
completely,"126,127,128"
ticker,"126,127,128"
groove,"126,127,128"
flat,"126,127,128,219,220"
language,"126,127,128,176,243"
vocabulary,"126,127,128"
motion,"126,152,153,160,190,191,192,200"
plainer,"126,127,128"
solid,"126,127,128"
chick,"126,127,128,327"
jackson,"126,127,128"
romance,"126,127,128,141,142"
expression,"126,127,128"
murder,"126,127,128,252,253"
lisa,126
intimate,"126,127,128"
leaving,"126,199,217,245,294"
torus,126
begin,"126,127,128,248"
fit,"126,127,128,145,228"
wooh,"127,128"
evry,"127,128"
romeo,"127,128"
leavin,"127,128"
dinah,"127,128"
meanin,"127,128"
woof,"127,128"
killin,"127,128,235,276"
zoot,"127,128"
elses,"127,128"
nathni,129
અમદવદ,129
એવ,129
મ,129
સસ,129
લળલળ,129
ક,129
કસરય,129
बध,129
વખણય,129
सर,129
क़सम,129
આવ,129
એન,129
यद,129
लर,129
मन,129
कस,129
સરત,129
આઇવ,129
ત,129
નથણ,129
ઘડવ,129
ન,129
जत,129
अपन,129
बगन,129
बबल,129
જયત,129
નથ,129
सब,129
જય,129
दनय,129
તરણય,129
एक,129
सग,129
વગડ,129
આયવ,129
વર,129
म,129
ઝપલય,129
अगन,129
સન,129
મત,129
ઘડ,129
छट,129
ज,129
मय,129
જગત,129
मस,129
द,129
ह,129
रसम,129
न,129
જ,129
મગવ,129
डर,129
बसन,129
ख़ज़न,129
ढढ़,129
મર,129
ર,129
મણક,129
રડ,129
ઢળ,129
majmudar,129
સયબ,129
पय,129
क,129
मज,129
aishwarya,129
पल,129
રજ,129
શર,129
એ,129
घर,129
य,129
કચ,129
छड़,129
fredda,"130,131,132"
saprà,"130,131,132"
principessa,"130,131,132,150"
speranza,"130,131,132,150,168"
dilegua,"130,131,132"
sulla,"130,131,132"
tramontate,"130,131,132"
scioglierà,"130,131,132"
dovrem,"130,131"
dirò,"130,131,132"
dorma,"130,131,132"
nessun,"130,131,132"
noi,"130,131,150,168"
bacio,"130,131,132,183,184"
mistero,"130,131,132"
guardi,"130,131,132,150"
nome,"130,131,132,150"
stanza,"130,131,132"
vincerò,"130,131,132"
suo,"130,131,185"
allalba,"130,131,132"
bocca,"130,131,132"
ahimè,"130,131"
tremano,"130,131,132"
chiuso,"130,131,132"
silenzio,"130,131,132"
splenderà,"130,131,132"
puccini,"131,137,138"
josé,"132,183,265"
carreras,"132,183"
mí,"133,159,293"
mentir,133
ilusión,"133,139,189"
ilusionana,133
mirar,"133,189"
visto,"133,293"
querer,"133,139,189"
mujeres,"133,292"
saben,133
tiemblen,133
malas,133
temblando,133
buena,"133,284"
sus,"133,189"
llorar,133
lágrimas,133
esa,"133,293"
lloran,133
callar,133
así,"133,209,287,293"
singular,133
miran,133
desventurada,133
horas,"133,189"
rezar,133
sirena,133
envenenó,133
piadosa,133
mujer,"133,293"
fingir,133
malvada,133
accanto,134
fu,"134,188"
gioco,134
rossini,"134,150,168"
palpitar,"134,183,184"
fuoco,134
starò,134
lungo,134
gorgheggiar,134
mesta,134
sospirar,134
lampo,134
gioachino,"134,150,168"
enlisted,135
heading,135
england,"135,161"
adjust,135
location,135
henry,135
marry,135
afield,135
painter,135
legendary,135
setting,135
holbien,135
máquina,136
passar,136
evolução,136
energia,"136,157"
uma,"136,164,172"
tenho,"136,149,164"
festa,136
acreditar,136
sonho,136
botão,136
sonhar,136
legou,136
jamais,"136,205,270,279,280"
toda,"136,139,189"
transforma,136
ribas,136
lindas,136
encontrará,136
só,"136,149"
futuro,136
pretérito,136
feita,136
ao,"136,149,164,172,274"
belas,136
bruno,136
brasil,136
toque,"136,157"
região,136
viver,"136,149,157,164,274"
transborda,136
cada,"136,149,205,292"
próprias,136
cultura,"136,205"
mãos,136
aplausos,136
folium,136
paraíso,136
sopro,136
tão,"136,164"
escravizado,136
verde,"136,157,164"
criativa,136
expressão,136
pé,136
artesão,136
fonte,136
entrelaçam,136
ambição,136
preciso,"136,164"
mocidade,136
arte,"136,157,205"
feito,136
divina,"136,156,205"
poesia,136
mão,"136,274"
talento,136
pela,"136,149,205"
nascer,136
pó,"136,205"
inspiração,"136,149"
imaginação,136
peça,136
pelas,136
vê,"136,157"
comperar,"137,138"
struggo,"137,138"
andare,"137,138"
indarno,"137,138"
porta,"137,138,144"
lamassi,"137,138"
voglio,"137,138"
sul,"137,138,149,156,164,172"
arno,"137,138"
voandare,"137,138"
babbo,"137,138"
bello,"137,138"
piace,"137,138"
ponte,"137,138"
vecchio,"137,138"
andrei,"137,138"
lanello,"137,138"
babbino,"137,138"
buttarmi,"137,138"
gianni,"137,138"
rossa,"137,138"
tormento,"137,138"
schicchi,"137,138"
concibo,139
lamarque,139
decirme,139
libertad,"139,292"
vez,"139,189,274,292,293"
dejas,139
eres,"139,159,284,293"
acabó,139
vuelvas,139
matas,139
compasión,139
pasión,139
marchas,139
modo,139
alientas,139
decisiones,139
quieres,"139,292"
olvidas,139
quererte,139
enloquecida,139
suerte,"139,209"
recuerdas,139
thomas,"140,160"
swimming,"140,195"
sends,140
fro,140
glory,"141,142,197"
glow,"141,142,187,291,327"
southern,"141,142,236"
shout,"141,142,219,220,288,293"
hardworking,"141,142"
alabama,"141,142"
ole,"141,142"
baugh,"141,142"
breeze,"143,166"
pant,"143,219,220,230"
1986,143
stomped,143
superman,143
rulin,143
baddabyebyebye,143
jeep,143
oral,143
feed,"143,177"
93,143
hows,143
butt,143
bust,"143,232"
whine,143
girlfriend,"143,217,247"
slit,143
feast,143
beamer,143
except,143
direct,143
rudebwoy,143
1993,143
unzipped,143
swinger,143
schemin,143
rolled,"143,165"
boogie,143
singer,"143,195"
sloppy,"143,291"
denise,143
hangin,"143,237,238"
skeezer,143
stupid,"143,154,158,173"
brazil,143
several,143
group,143
frank,"143,327"
bap,143
gee,143
dizzy,143
nonstop,143
cat,"143,213,222,327"
interrupted,143
kris,143
production,143
effect,"143,212,235"
lobby,143
girlies,143
accelerator,143
party,"143,219,220,246"
checkin,143
krsone,143
92,143
wallet,143
ced,143
hiphop,"143,219,220"
somethin,"143,247"
ruffneck,143
broke,"143,204,213,236,264,291"
bwoy,143
krsonell,143
homeboy,143
brooklyn,143
released,143
kr,143
lead,"143,146,251,252,253,256,257,258,259,260,261"
kenny,143
poucas,144
passado,144
moleque,144
peito,144
leque,144
alceu,144
porto,"144,149"
batem,144
teus,144
aí,144
parto,144
valença,144
pedras,144
passos,144
pegadas,144
presente,144
persegue,144
torto,144
provoca,144
poema,"144,183,184"
são,"144,157"
palavras,144
humilis,145
hominum,145
terminum,145
re,145
mirabilis,145
dat,"145,165"
dominum,145
pauper,145
coelicus,145
panis,145
figuris,145
angelicus,145
manducat,145
iac,145
servus,145
25,145
curried,146
aside,146
deserve,"146,244"
pushed,146
bathing,146
wheel,"146,152,153,177,190,191,192"
press,"146,177"
sparkle,146
highflying,146
crumb,146
understands,146
local,146
joy,146
desperate,146
hoping,146
taste,146
boss,146
coney,146
closer,"146,217,234"
island,146
unwind,146
beg,"146,225,226,227"
sink,146
trip,"146,210,211"
ugly,146
sake,146
swayed,146
permit,146
hurting,146
lap,146
wash,"146,225,226,227"
greased,146
finish,"146,173"
robbed,146
papa,"146,270,292"
wondered,146
here,"146,210,211,236,272"
conscience,146
orages,147
ô,"147,157"
gloire,147
plus,"147,232,279,280"
viendra,147
première,147
dans,"147,270,279,280"
réveiller,147
proche,"147,270"
splendeur,147
sen,"147,279,280"
caress,"147,197"
voyageur,147
misère,147
deuil,147
chercheront,147
souffle,147
massenet,147
yeux,"147,270"
pourtant,"147,203"
tristesses,147
temp,"147,203"
vallon,147
vainement,147
hélas,147
jules,147
demain,147
trouvera,147
souvenant,147
pourquoi,147
printemps,147
skull,"148,278"
jet,"148,204"
manson,148
ticket,"148,327"
stained,148
policestate,148
fair,"148,178,179,275,276"
violence,"148,241"
martyred,148
thinker,148
piggy,148
incubated,148
nailed,148
marilyn,148
discontent,148
headlight,148
deu,149
empenho,149
valor,149
liberto,149
luizinho,149
espelha,149
quis,149
raça,149
ele,"149,205,274"
este,"149,284,287"
corpo,149
invasor,149
anjo,149
prisão,149
humanidade,149
senhor,"149,205"
corre,149
braço,149
andanças,149
farsa,149
encontra,149
filho,149
humano,149
deste,149
foi,"149,172"
segregação,149
clamou,149
tigre,149
leão,149
mandela,149
fome,149
glória,"149,205"
céu,149
gueto,149
nove,149
canta,149
num,149
privação,149
injustiça,149
louvado,149
filhas,149
alento,149
matizado,149
favela,149
não,"149,164,172,274"
horror,149
cobiça,149
sangue,"149,205"
pensamento,"149,164"
igualdade,149
abraçar,149
monstro,149
maior,"149,157,205"
ergueu,149
misturado,149
permanece,149
caveirão,149
pedra,"149,205"
museu,149
deus,"149,205"
vermelha,149
herói,149
colpa,150
miei,"150,185"
volsi,150
fe,150
ermo,150
inaspettato,150
quegli,150
gioia,150
piè,150
costante,150
dappianarti,150
mel,150
chio,150
vani,150
favore,150
cupo,150
vuoi,150
nello,150
rispetto,150
grata,150
ladoro,150
diè,150
ottenni,150
deh,150
seguaci,150
debolezza,150
cavaliero,150
europa,150
intesi,150
soave,150
gli,150
fugga,150
spento,150
affanno,150
nemici,150
oblio,150
sono,"150,175"
smarrito,150
giubilo,150
sottrasse,150
sdegnosa,150
concesso,150
però,150
gloria,150
fuggirmi,150
saria,150
taci,150
ardore,150
tuoi,150
troppo,150
campo,150
chiede,150
sovente,150
soglio,150
eppur,150
darmida,150
forse,150
dubitar,150
questanima,150
sionne,"150,188"
prova,150
barbari,150
bellica,150
rai,150
esprimere,150
riponesti,150
opre,150
disastri,150
