Term,Document IDs
fortunato,150
prode,150
tuamorpossente,150
unalma,150
libertà,150
fiera,150
qual,"150,168,183,184"
magica,150
comprender,150
dover,150
schernirti,150
geme,150
pur,150
piagò,150
strada,150
marcato,150
provo,150
chiama,150
stato,150
palese,150
accenti,150
quasi,150
serberà,150
vostra,150
spada,150
soavi,150
schernirmi,150
furor,150
colui,150
fingi,150
risuoni,150
cadde,150
sentiero,150
scordasti,150
crudele,150
lonor,150
sent,150
detti,150
tinganni,150
cessa,150
questalma,150
barbaro,150
recami,150
eroi,150
proseguir,150
comandò,150
giorni,150
abbandono,150
possente,150
questi,150
cui,150
chesprimere,150
dicea,150
rispondi,150
desio,150
duce,150
trafiggermi,150
perduta,"150,188"
misero,150
diverso,150
dolce,"150,156,168"
insieme,150
morte,150
memoria,150
laita,150
spietato,150
laffetto,150
uninfelice,150
bellico,150
fia,150
rammento,150
dal,"150,188"
possanza,150
minvitò,150
cara,"150,157,188"
frutto,150
rivederti,150
laltrui,150
trasse,150
vacilla,150
disprezzo,150
istante,"150,185"
schiera,150
natura,150
resistere,150
mirai,150
maccusi,150
serbai,150
questa,150
possio,150
schlitzen,151
schädel,151
in,151
augen,151
keuze,151
drehen,151
lieg,151
alfred,151
nächten,151
strande,151
gräbern,151
äther,151
päpste,151
sich,151
männer,151
kriechen,151
selbe,151
süchte,151
öffnen,151
dunkeln,151
schlaflos,151
türen,151
stürzen,151
takte,151
führen,151
schleichen,151
mister,151
schießen,151
schoß,151
nächte,151
liebeswalzer,151
silly,"151,200,228"
gestresst,151
messer,151
tanzmusik,151
ängste,151
hände,151
fallen,151
seele,151
grüße,151
krallen,151
jenseits,151
hitchcock,151
kreischend,151
mann,151
leichen,151
fest,151
moo,151
dem,151
häute,151
vögel,151
tausend,151
crash,"152,153,154"
brink,"152,153"
bat,"152,153"
win,"152,153,208,219,220"
hacksaw,"152,153"
williams,"152,153,262"
throttle,"152,153"
gate,"152,153"
wide,"152,153,210,211,217,251"
scarface,"152,153"
giorgio,153
hauser,153
dominik,153
stake,153
composed,153
moroder,153
background,154
inane,154
ba,"154,270,271,279,280"
varnished,154
