Term,Document IDs
frodo,75
shore,"75,127,128,214"
maestro,75
ben,"75,114"
howard,"75,82"
やすらぎ求め,76
ただ,76
錆びて,76
終わる,76
despairsray,76
こぼれた痛みと引き替えに,76
どこまでいける枠を越えて,76
満たされれば,76
でも,76
楽になれない,76
forbidden,76
帰れなくて,76
bitching,76
呑み込む闇と引き替えに,76
虚しさが掻き消されていくかい,76
悲しみが消え失せていくかい,76
downward,76
俺が巧く導くから聞かせて,76
moaning,76
怖がらずに続け,76
essence,76
俺は林檎の種を蒔くから,76
枯れた場所へ,76
また,76
委ねて,76
さぁ終わりだすべて壊せ,76
赤と黒に染める声が混ざり合う,76
神の落とし子,76
抱え込んでも,76
もし世界が明日終わるとしても,76
その先はアダムへ,76
今日,76
錆びて溶ける,76
forcefed,77
form,"77,93,187"
wasted,77
dying,"77,146,196,225,226,227"
dependent,77
stupidity,77
opportunity,"77,230"
television,"77,154"
america,"77,222"
sald,77
crutch,77
clean,"77,146,177,222"
led,77
5,"77,124,262,263"
manufactured,77
image,77
easily,"77,102,103"
apathy,"77,95"
responsibility,77
youth,77
control,"77,106,223,254,275,276,291,294"
beaten,77
art,"77,241"
although,"77,160,200"
crippled,77
short,"77,107"
sold,"77,125"
bar,"78,173,210,211,283,291"
faded,"78,91"
push,"78,152,153,217,259,278"
dougie,78
dirty,"78,169"
poppin,78
six,"78,90,91,112,135,161"
mr,"78,80,90,193,257"
hella,"78,219,220,293"
friday,78
bra,78
laid,"78,97,216"
kinda,"78,117,143,214,222,254,291"
chinchillin,78
grillin,78
sexy,"78,187"
seethrough,78
neon,78
wreckage,79
lived,"79,241,327"
cage,79
reflection,79
oneself,79
distressed,79
vibrate,79
space,"79,194,215,248,249,291"
allow,79
radiate,79
empty,"79,80,91,97,241,247"
dignity,79
refrigerator,79
stereolab,79
connect,79
void,"79,97,176"
accept,79
hall,"80,143,222,261"
handle,80
ungrateful,80
comment,80
isnt,"80,82,97,146,161,216"
saw,"80,93,97,143,161,171,177,196,325"
backbiting,80
faithful,80
piece,"80,162,237,238,252,253,325"
idiot,80
sneer,80
looked,"80,143,171,241"
raoul,80
pale,80
isle,80
lloyd,"80,125,146"
squelch,80
seal,80
indeed,"80,221"
afraid,"80,84,92,100,106,195,202,246,268,325"
limb,"80,210,211"
minion,80
greedy,80
quickly,"80,163"
backstage,80
meant,"80,162,215,240"
webber,"80,125,146"
fleck,"80,260"
port,80
madame,80
scurried,80
phanton,80
favor,"80,143,146,247"
harm,80
safe,"80,121,152,153,174,213,215,239"
theyve,"80,125"
distraught,80
owed,80
poor,"80,125,169"
vicious,"80,124"
waste,"80,125,176,218,272"
blockade,80
pier,80
shell,"80,241,254"
christine,"80,125,146"
hurry,80
giry,"80,146"
mirror,"80,197,267"
undone,"80,195"
crowd,"80,125,268,271,293"
andrew,"80,125,146"
dry,"80,166,223"
meg,"80,125,146"
damned,"80,94,95,194"
carriage,"80,96,102,103,201"
spoken,"80,193"
drunken,80
recondition,80
pulling,80
dressing,"80,146"
smashed,"80,195"
tomb,80
lover,"81,85,86,87,88,158,202,327"
club,"81,237,238"
shadow,"81,291"
disco,"81,284"
embargo,82
pissed,"82,143,222"
president,"82,90,148"
megaton,82
crap,"82,222"
mario,82
public,"82,124,182"
everythings,"82,109"
appropriate,82
election,82
wazoo,82
miller,82
lyin,"82,219,220"
jersey,"82,115,143"
gotcha,82
wood,82
saudi,82
democratic,82
waking,"82,239"
waning,82
hamburger,82
vote,82
sammy,"82,117"
argue,82
startin,"82,262"
crack,"82,105,124,143,200,325"
conclude,82
ozone,82
fix,"82,177"
oil,"82,271"
massachusetts,82
cantone,82
goin,"82,200,230"
packing,82
service,"82,182,219,220"
sewage,82
piss,"82,94"
bubula,82
schmuck,82
johnson,82
ten,"82,171"
airport,82
crate,82
democrat,82
voted,82
nightmare,82
administration,82
terrified,"82,158"
republican,82
listenin,"82,212"
hole,"82,197"
grandma,"82,117"
backbone,82
mommy,82
sam,82
chandelier,83
slightly,"83,235"
divine,"83,126,127,128"
horn,83
sail,"83,225,226,227"
hammerstein,"83,103,113"
sounding,"83,235"
lady,"83,107,163,270,289,327"
original,"83,103,113,162,164,200,208,252,253"
slim,83
walked,"83,143,272"
snowy,83
tall,"83,169,252,253"
taller,"83,106"
blew,83
rodgers,"83,103,113"
guitar,83
cinderella,"83,103,113"
ballroom,"83,269"
naturally,83
window,"83,143,186,291"
nightingale,83
hue,83
across,"83,186,194,278"
sensibility,84
思い叫び出せ,84
果てにぶち壊せ,84
circumstance,84
弱虫の気持ちがわかる,84
やらなきゃ行けないの,84
その場だけ愛想笑い,84
wowwow,84
押し付けて来ないで,84
